item_id,old_offer_id,new_offer_id
56666343047433,Barbican Boar-13.95 GBP,mgs-56666343047433
56666346062089,Farringdon Boar-12.50 GBP,mgs-56666346062089
55607611326729,000125-10.20 GBP,mgs-55607611326729
55607611425033,000019-14.40 GBP,mgs-55607611425033
55607611097353,000118-10.20 GBP,mgs-55607611097353
55607611359497,000002-14.40 GBP,mgs-55607611359497
55607611064585,000033-11.50 GBP,mgs-55607611064585
55607611162889,000101-11.50 GBP,mgs-55607611162889
55607611130121,000040-11.50 GBP,mgs-55607611130121
55607611293961,000132-10.20 GBP,mgs-55607611293961
55607611457801,000026-14.40 GBP,mgs-55607611457801
55607611195657,Trafalgar T1-35.00 GBP,mgs-55607611195657
55607611228425,Trafalgar T2-40.00 GBP,mgs-55607611228425
55607611261193,Trafalgar T3-41.50 GBP,mgs-55607611261193
55815788888329,7010-18.00 GBP,mgs-55815788888329
55815794983177,5589-39.50 GBP,mgs-55815794983177
55815788069129,1125-18.50 GBP,mgs-55815788069129
55815788036361,1126-46.50 GBP,mgs-55815788036361
55815789510921,4448-80.00 GBP,mgs-55815789510921
55815789543689,4504-3.50 GBP,mgs-55815789543689
55815789707529,4447-80.00 GBP,mgs-55815789707529
55815789773065,4503-3.50 GBP,mgs-55815789773065
55815789281545,3335-22.50 GBP,mgs-55815789281545
55815789379849,1117-18.50 GBP,mgs-55815789379849
55815789445385,1118-46.50 GBP,mgs-55815789445385
55815787839753,2226-14.00 GBP,mgs-55815787839753
55815798587657,5582-23.00 GBP,mgs-55815798587657
55815796392201,1112-46.50 GBP,mgs-55815796392201
55815795212553,5555-22.50 GBP,mgs-55815795212553
57229467091209,2237-14.00 GBP,mgs-57229467091209
55815793934601,4445-80.00 GBP,mgs-55815793934601
55815794000137,4501-3.50 GBP,mgs-55815794000137
55815788921097,5597-23.00 GBP,mgs-55815788921097
55815789936905,4444-80.00 GBP,mgs-55815789936905
55815790002441,4500-3.50 GBP,mgs-55815790002441
55815795048713,6666-125.00 GBP,mgs-55815795048713
57229467156745,3340-22.50 GBP,mgs-57229467156745
55815786791177,2224-14.00 GBP,mgs-55815786791177
57229467025673,5594-45.00 GBP,mgs-57229467025673
55815798489353,7777-17.50 GBP,mgs-55815798489353
55815795998985,7778-13.00 GBP,mgs-55815795998985
55815798554889,5564-21.00 GBP,mgs-55815798554889
55815790330121,1116-43.00 GBP,mgs-55815790330121
55815786889481,2222-14.00 GBP,mgs-55815786889481
57229467255049,7021-38.00 GBP,mgs-57229467255049
55815791935753,5561-33.50 GBP,mgs-55815791935753
55815786856713,5574-16.00 GBP,mgs-55815786856713
55815786725641,3337-22.50 GBP,mgs-55815786725641
55815797080329,1123-18.50 GBP,mgs-55815797080329
55815789674761,4506-3.50 GBP,mgs-55815789674761
55815789641993,4449-80.00 GBP,mgs-55815789641993
55815789052169,2234-14.00 GBP,mgs-55815789052169
57229466894601,5568-12.50 GBP,mgs-57229466894601
55815797145865,6671-25.00 GBP,mgs-55815797145865
55815797178633,6673-25.00 GBP,mgs-55815797178633
55815797211401,6680-23.50 GBP,mgs-55815797211401
55815797244169,6672-25.00 GBP,mgs-55815797244169
55815797276937,6674-25.00 GBP,mgs-55815797276937
55815797309705,6685-25.00 GBP,mgs-55815797309705
57229466960137,3338-22.50 GBP,mgs-57229466960137
55815789609225,4507-3.50 GBP,mgs-55815789609225
55815789576457,4450-80.00 GBP,mgs-55815789576457
55815787970825,2235-14.00 GBP,mgs-55815787970825
55815791051017,8910-10.00 GBP,mgs-55815791051017
55815790297353,5565-23.00 GBP,mgs-55815790297353
55815800258825,3333-22.50 GBP,mgs-55815800258825
55815788167433,1111-18.50 GBP,mgs-55815788167433
55815787708681,2225-14.00 GBP,mgs-55815787708681
55815786660105,3334-22.50 GBP,mgs-55815786660105
55815799865609,6675-45.00 GBP,mgs-55815799865609
55815795081481,2230-14.00 GBP,mgs-55815795081481
55815790395657,1113-18.50 GBP,mgs-55815790395657
55815789183241,1121-18.50 GBP,mgs-55815789183241
55815801209097,1122-46.50 GBP,mgs-55815801209097
55815798063369,6690-110.00 GBP,mgs-55815798063369
55815793541385,5553-37.00 GBP,mgs-55815793541385
55815788101897,5554-19.00 GBP,mgs-55815788101897
55815792525577,5581-23.00 GBP,mgs-55815792525577
55815791673609,5566-23.00 GBP,mgs-55815791673609
55815796949257,5579-34.00 GBP,mgs-55815796949257
55815791706377,5562-15.25 GBP,mgs-55815791706377
55815793836297,1115-14.00 GBP,mgs-55815793836297
55815799144713,5563-11.50 GBP,mgs-55815799144713
57229467222281,5566-T-17.00 GBP,mgs-57229467222281
55815793475849,3336-22.50 GBP,mgs-55815793475849
55815794524425,4446-80.00 GBP,mgs-55815794524425
55815794589961,4502-3.50 GBP,mgs-55815794589961
55815788986633,1109-18.50 GBP,mgs-55815788986633
55815789248777,5570-22.50 GBP,mgs-55815789248777
57229466927369,5569-19.50 GBP,mgs-57229466927369
55815788822793,5598-23.00 GBP,mgs-55815788822793
55815788298505,5599-23.00 GBP,mgs-55815788298505
55815788232969,5601-23.00 GBP,mgs-55815788232969
55344585441545,05008-33.75 GBP,mgs-55344585441545
55344585507081,05003-72.00 GBP,mgs-55344585507081
55344585539849,05030-26.00 GBP,mgs-55344585539849
55344585801993,03052-33.75 GBP,mgs-55344585801993
55344585703689,03032-26.75 GBP,mgs-55344585703689
55344585277705,06003CF-72.00 GBP,mgs-55344585277705
57131430674697,06030-26.75 GBP,mgs-57131430674697
55344585310473,04003-72.00 GBP,mgs-55344585310473
55344585474313,07003-72.00 GBP,mgs-55344585474313
55344585670921,03050-33.75 GBP,mgs-55344585670921
55344585572617,03030-26.75 GBP,mgs-55344585572617
55344585736457,03051-33.75 GBP,mgs-55344585736457
55344585638153,03031-26.75 GBP,mgs-55344585638153
55344585343241,02004-98.00 GBP,mgs-55344585343241
55344585408777,02005-98.00 GBP,mgs-55344585408777
55344585376009,10140-29.00 GBP,mgs-55344585376009
55344585834761,03074-36.25 GBP,mgs-55344585834761
56158802575625,57033-8.95 GBP,mgs-56158802575625
56158802706697,57034-12.95 GBP,mgs-56158802706697
56158802641161,57031-10.95 GBP,mgs-56158802641161
56158802772233,57090-11.95 GBP,mgs-56158802772233
56158802903305,57081-10.95 GBP,mgs-56158802903305
56158802542857,57082-11.95 GBP,mgs-56158802542857
56158802379017,57084-7.95 GBP,mgs-56158802379017
56158802673929,57086-7.80 GBP,mgs-56158802673929
56158802805001,57096-24.95 GBP,mgs-56158802805001
